"District","FIPS","Year","High Needs Status","Variable","Measure Type","Value"
"Chester School District","","2011-2012","High Needs","Four Year Graduation Rate","Percent","-6666"
"Chester School District","","2011-2012","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Chester School District","","2011-2012","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Chester School District","","2011-2012","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Chester School District","","2011-2012","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Chester School District","","2011-2012","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Chester School District","","2011-2012","High Needs","Other Count","Number","-6666"
"Chester School District","","2011-2012","Non-High Needs","Other Count","Number","-6666"
"Chester School District","","2011-2012","High Needs","Other Rate","Percent","-6666"
"Chester School District","","2011-2012","Non-High Needs","Other Rate","Percent","-6666"
"Chester School District","","2012-2013","High Needs","Total Cohort Count","Number","-6666"
"Chester School District","","2012-2013","Non-High Needs","Total Cohort Count","Number","-6666"
"Chester School District","","2012-2013","High Needs","Four Year Graduation Count","Number","-6666"
"Chester School District","","2012-2013","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Chester School District","","2012-2013","High Needs","Four Year Graduation Rate","Percent","-6666"
"Chester School District","","2012-2013","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Chester School District","","2012-2013","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Chester School District","","2012-2013","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Chester School District","","2012-2013","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Chester School District","","2012-2013","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Chester School District","","2012-2013","High Needs","Other Count","Number","-6666"
"Chester School District","","2012-2013","Non-High Needs","Other Count","Number","-6666"
"Chester School District","","2012-2013","High Needs","Other Rate","Percent","-6666"
"Chester School District","","2012-2013","Non-High Needs","Other Rate","Percent","-6666"
"Chester School District","","2013-2014","High Needs","Total Cohort Count","Number","-6666"
"Chester School District","","2013-2014","Non-High Needs","Total Cohort Count","Number","-6666"
"Chester School District","","2013-2014","High Needs","Four Year Graduation Count","Number","-6666"
"Chester School District","","2013-2014","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Chester School District","","2013-2014","High Needs","Four Year Graduation Rate","Percent","-6666"
"Chester School District","","2013-2014","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Chester School District","","2013-2014","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Chester School District","","2013-2014","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Chester School District","","2013-2014","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Chester School District","","2013-2014","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Chester School District","","2013-2014","High Needs","Other Count","Number","-6666"
"Chester School District","","2013-2014","Non-High Needs","Other Count","Number","-6666"
"Chester School District","","2013-2014","High Needs","Other Rate","Percent","-6666"
"Chester School District","","2013-2014","Non-High Needs","Other Rate","Percent","-6666"
"Chester School District","","2014-2015","High Needs","Total Cohort Count","Number","-6666"
"Chester School District","","2014-2015","Non-High Needs","Total Cohort Count","Number","-6666"
"Chester School District","","2014-2015","High Needs","Four Year Graduation Count","Number","-6666"
"Chester School District","","2014-2015","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Chester School District","","2014-2015","High Needs","Four Year Graduation Rate","Percent","-6666"
"Chester School District","","2014-2015","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Chester School District","","2014-2015","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Chester School District","","2014-2015","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Chester School District","","2014-2015","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Chester School District","","2014-2015","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Chester School District","","2014-2015","High Needs","Other Count","Number","-6666"
"Chester School District","","2014-2015","Non-High Needs","Other Count","Number","-6666"
"Chester School District","","2014-2015","High Needs","Other Rate","Percent","-6666"
"Chester School District","","2014-2015","Non-High Needs","Other Rate","Percent","-6666"
"Chester School District","","2015-2016","High Needs","Total Cohort Count","Number","-6666"
"Chester School District","","2015-2016","Non-High Needs","Total Cohort Count","Number","-6666"
"Chester School District","","2015-2016","High Needs","Four Year Graduation Count","Number","-6666"
"Chester School District","","2015-2016","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Chester School District","","2015-2016","High Needs","Four Year Graduation Rate","Percent","-6666"
"Chester School District","","2015-2016","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Chester School District","","2015-2016","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Chester School District","","2015-2016","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Chester School District","","2015-2016","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Chester School District","","2015-2016","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Chester School District","","2015-2016","High Needs","Other Count","Number","-6666"
"Chester School District","","2015-2016","Non-High Needs","Other Count","Number","-6666"
"Chester School District","","2015-2016","High Needs","Other Rate","Percent","-6666"
"Chester School District","","2015-2016","Non-High Needs","Other Rate","Percent","-6666"
"Clinton School District","900715350","2010-2011","High Needs","Total Cohort Count","Number","35"
"Clinton School District","900715350","2010-2011","Non-High Needs","Total Cohort Count","Number","110"
"Clinton School District","900715350","2010-2011","High Needs","Four Year Graduation Count","Number","31"
"Clinton School District","900715350","2010-2011","Non-High Needs","Four Year Graduation Count","Number","103"
"Clinton School District","900715350","2010-2011","High Needs","Four Year Graduation Rate","Percent","88.6"
"Clinton School District","900715350","2010-2011","Non-High Needs","Four Year Graduation Rate","Percent","93.6"
"Clinton School District","900715350","2010-2011","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Clinton School District","900715350","2010-2011","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Clinton School District","900715350","2010-2011","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Clinton School District","900715350","2010-2011","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Clinton School District","900715350","2010-2011","High Needs","Other Count","Number","-9999"
"Clinton School District","900715350","2010-2011","Non-High Needs","Other Count","Number","-9999"
"Clinton School District","900715350","2010-2011","High Needs","Other Rate","Percent","-9999"
"Clinton School District","900715350","2010-2011","Non-High Needs","Other Rate","Percent","-9999"
"Clinton School District","900715350","2011-2012","High Needs","Total Cohort Count","Number","33"
"Clinton School District","900715350","2011-2012","Non-High Needs","Total Cohort Count","Number","90"
"Clinton School District","900715350","2011-2012","High Needs","Four Year Graduation Count","Number","29"
"Clinton School District","900715350","2011-2012","Non-High Needs","Four Year Graduation Count","Number","85"
"Clinton School District","900715350","2011-2012","High Needs","Four Year Graduation Rate","Percent","87.9"
"Clinton School District","900715350","2011-2012","Non-High Needs","Four Year Graduation Rate","Percent","94.4"
"Clinton School District","900715350","2011-2012","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Clinton School District","900715350","2011-2012","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Clinton School District","900715350","2011-2012","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Clinton School District","900715350","2011-2012","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Clinton School District","900715350","2011-2012","High Needs","Other Count","Number","-9999"
"Clinton School District","900715350","2011-2012","Non-High Needs","Other Count","Number","-9999"
"Clinton School District","900715350","2011-2012","High Needs","Other Rate","Percent","-9999"
"Clinton School District","900715350","2011-2012","Non-High Needs","Other Rate","Percent","-9999"
"Clinton School District","900715350","2012-2013","High Needs","Total Cohort Count","Number","54"
"Clinton School District","900715350","2012-2013","Non-High Needs","Total Cohort Count","Number","91"
"Clinton School District","900715350","2012-2013","High Needs","Four Year Graduation Count","Number","41"
"Clinton School District","900715350","2012-2013","Non-High Needs","Four Year Graduation Count","Number","87"
"Clinton School District","900715350","2012-2013","High Needs","Four Year Graduation Rate","Percent","75.9"
"Clinton School District","900715350","2012-2013","Non-High Needs","Four Year Graduation Rate","Percent","95.6"
"Clinton School District","900715350","2012-2013","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Clinton School District","900715350","2012-2013","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Clinton School District","900715350","2012-2013","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Clinton School District","900715350","2012-2013","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Clinton School District","900715350","2012-2013","High Needs","Other Count","Number","-9999"
"Clinton School District","900715350","2012-2013","Non-High Needs","Other Count","Number","-9999"
"Clinton School District","900715350","2012-2013","High Needs","Other Rate","Percent","-9999"
"Clinton School District","900715350","2012-2013","Non-High Needs","Other Rate","Percent","-9999"
"Clinton School District","900715350","2013-2014","High Needs","Total Cohort Count","Number","31"
"Clinton School District","900715350","2013-2014","Non-High Needs","Total Cohort Count","Number","102"
"Clinton School District","900715350","2013-2014","High Needs","Four Year Graduation Count","Number","25"
"Clinton School District","900715350","2013-2014","Non-High Needs","Four Year Graduation Count","Number","98"
"Clinton School District","900715350","2013-2014","High Needs","Four Year Graduation Rate","Percent","80.6"
"Clinton School District","900715350","2013-2014","Non-High Needs","Four Year Graduation Rate","Percent","96.1"
"Clinton School District","900715350","2013-2014","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Clinton School District","900715350","2013-2014","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Clinton School District","900715350","2013-2014","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Clinton School District","900715350","2013-2014","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Clinton School District","900715350","2013-2014","High Needs","Other Count","Number","-9999"
"Clinton School District","900715350","2013-2014","Non-High Needs","Other Count","Number","-9999"
"Clinton School District","900715350","2013-2014","High Needs","Other Rate","Percent","-9999"
"Clinton School District","900715350","2013-2014","Non-High Needs","Other Rate","Percent","-9999"
"Clinton School District","900715350","2014-2015","High Needs","Total Cohort Count","Number","51"
"Clinton School District","900715350","2014-2015","Non-High Needs","Total Cohort Count","Number","111"
"Clinton School District","900715350","2014-2015","High Needs","Four Year Graduation Count","Number","39"
"Clinton School District","900715350","2014-2015","Non-High Needs","Four Year Graduation Count","Number","107"
"Clinton School District","900715350","2014-2015","High Needs","Four Year Graduation Rate","Percent","76.5"
"Clinton School District","900715350","2014-2015","Non-High Needs","Four Year Graduation Rate","Percent","96.4"
"Clinton School District","900715350","2014-2015","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Clinton School District","900715350","2014-2015","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Clinton School District","900715350","2014-2015","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Clinton School District","900715350","2014-2015","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Clinton School District","900715350","2014-2015","High Needs","Other Count","Number","-9999"
"Clinton School District","900715350","2014-2015","Non-High Needs","Other Count","Number","-9999"
"Clinton School District","900715350","2014-2015","High Needs","Other Rate","Percent","-9999"
"Clinton School District","900715350","2014-2015","Non-High Needs","Other Rate","Percent","-9999"
"Clinton School District","900715350","2015-2016","High Needs","Total Cohort Count","Number","47"
"Clinton School District","900715350","2015-2016","Non-High Needs","Total Cohort Count","Number","93"
"Clinton School District","900715350","2015-2016","High Needs","Four Year Graduation Count","Number","33"
"Clinton School District","900715350","2015-2016","Non-High Needs","Four Year Graduation Count","Number","90"
"Clinton School District","900715350","2015-2016","High Needs","Four Year Graduation Rate","Percent","70.2"
"Clinton School District","900715350","2015-2016","Non-High Needs","Four Year Graduation Rate","Percent","96.8"
"Clinton School District","900715350","2015-2016","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Clinton School District","900715350","2015-2016","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Clinton School District","900715350","2015-2016","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Clinton School District","900715350","2015-2016","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Clinton School District","900715350","2015-2016","High Needs","Other Count","Number","-9999"
"Clinton School District","900715350","2015-2016","Non-High Needs","Other Count","Number","-9999"
"Clinton School District","900715350","2015-2016","High Needs","Other Rate","Percent","-9999"
"Clinton School District","900715350","2015-2016","Non-High Needs","Other Rate","Percent","-9999"
"Colchester School District","901115910","2010-2011","High Needs","Total Cohort Count","Number","42"
"Colchester School District","901115910","2010-2011","Non-High Needs","Total Cohort Count","Number","208"
"Colchester School District","901115910","2010-2011","High Needs","Four Year Graduation Count","Number","36"
"Colchester School District","901115910","2010-2011","Non-High Needs","Four Year Graduation Count","Number","196"
"Colchester School District","901115910","2010-2011","High Needs","Four Year Graduation Rate","Percent","85.7"
"Colchester School District","901115910","2010-2011","Non-High Needs","Four Year Graduation Rate","Percent","94.2"
"Colchester School District","901115910","2010-2011","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Colchester School District","901115910","2010-2011","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Colchester School District","901115910","2010-2011","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Colchester School District","901115910","2010-2011","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Colchester School District","901115910","2010-2011","High Needs","Other Count","Number","-9999"
"Colchester School District","901115910","2010-2011","Non-High Needs","Other Count","Number","-9999"
"Colchester School District","901115910","2010-2011","High Needs","Other Rate","Percent","-9999"
"Colchester School District","901115910","2010-2011","Non-High Needs","Other Rate","Percent","-9999"
"Colchester School District","901115910","2011-2012","High Needs","Total Cohort Count","Number","65"
"Colchester School District","901115910","2011-2012","Non-High Needs","Total Cohort Count","Number","181"
"Colchester School District","901115910","2011-2012","High Needs","Four Year Graduation Count","Number","55"
"Colchester School District","901115910","2011-2012","Non-High Needs","Four Year Graduation Count","Number","178"
"Colchester School District","901115910","2011-2012","High Needs","Four Year Graduation Rate","Percent","84.6"
"Colchester School District","901115910","2011-2012","Non-High Needs","Four Year Graduation Rate","Percent","98.3"
"Colchester School District","901115910","2011-2012","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Colchester School District","901115910","2011-2012","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Colchester School District","901115910","2011-2012","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Colchester School District","901115910","2011-2012","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Colchester School District","901115910","2011-2012","High Needs","Other Count","Number","-9999"
"Colchester School District","901115910","2011-2012","Non-High Needs","Other Count","Number","-9999"
"Colchester School District","901115910","2011-2012","High Needs","Other Rate","Percent","-9999"
"Colchester School District","901115910","2011-2012","Non-High Needs","Other Rate","Percent","-9999"
"Colchester School District","901115910","2012-2013","High Needs","Total Cohort Count","Number","55"
"Colchester School District","901115910","2012-2013","Non-High Needs","Total Cohort Count","Number","198"
"Colchester School District","901115910","2012-2013","High Needs","Four Year Graduation Count","Number","44"
"Colchester School District","901115910","2012-2013","Non-High Needs","Four Year Graduation Count","Number","192"
"Colchester School District","901115910","2012-2013","High Needs","Four Year Graduation Rate","Percent","80.0"
"Colchester School District","901115910","2012-2013","Non-High Needs","Four Year Graduation Rate","Percent","97.0"
"Colchester School District","901115910","2012-2013","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Colchester School District","901115910","2012-2013","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Colchester School District","901115910","2012-2013","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Colchester School District","901115910","2012-2013","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Colchester School District","901115910","2012-2013","High Needs","Other Count","Number","-9999"
"Colchester School District","901115910","2012-2013","Non-High Needs","Other Count","Number","-9999"
"Colchester School District","901115910","2012-2013","High Needs","Other Rate","Percent","-9999"
"Colchester School District","901115910","2012-2013","Non-High Needs","Other Rate","Percent","-9999"
"Colchester School District","901115910","2013-2014","High Needs","Total Cohort Count","Number","58"
"Colchester School District","901115910","2013-2014","Non-High Needs","Total Cohort Count","Number","190"
"Colchester School District","901115910","2013-2014","High Needs","Four Year Graduation Count","Number","50"
"Colchester School District","901115910","2013-2014","Non-High Needs","Four Year Graduation Count","Number","187"
"Colchester School District","901115910","2013-2014","High Needs","Four Year Graduation Rate","Percent","86.2"
"Colchester School District","901115910","2013-2014","Non-High Needs","Four Year Graduation Rate","Percent","98.4"
"Colchester School District","901115910","2013-2014","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Colchester School District","901115910","2013-2014","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Colchester School District","901115910","2013-2014","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Colchester School District","901115910","2013-2014","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Colchester School District","901115910","2013-2014","High Needs","Other Count","Number","-9999"
"Colchester School District","901115910","2013-2014","Non-High Needs","Other Count","Number","-9999"
"Colchester School District","901115910","2013-2014","High Needs","Other Rate","Percent","-9999"
"Colchester School District","901115910","2013-2014","Non-High Needs","Other Rate","Percent","-9999"
"Colchester School District","901115910","2014-2015","High Needs","Total Cohort Count","Number","69"
"Colchester School District","901115910","2014-2015","Non-High Needs","Total Cohort Count","Number","159"
"Colchester School District","901115910","2014-2015","High Needs","Four Year Graduation Count","Number","57"
"Colchester School District","901115910","2014-2015","Non-High Needs","Four Year Graduation Count","Number","153"
"Colchester School District","901115910","2014-2015","High Needs","Four Year Graduation Rate","Percent","82.6"
"Colchester School District","901115910","2014-2015","Non-High Needs","Four Year Graduation Rate","Percent","96.2"
"Colchester School District","901115910","2014-2015","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Colchester School District","901115910","2014-2015","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Colchester School District","901115910","2014-2015","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Colchester School District","901115910","2014-2015","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Colchester School District","901115910","2014-2015","High Needs","Other Count","Number","-9999"
"Colchester School District","901115910","2014-2015","Non-High Needs","Other Count","Number","-9999"
"Colchester School District","901115910","2014-2015","High Needs","Other Rate","Percent","-9999"
"Colchester School District","901115910","2014-2015","Non-High Needs","Other Rate","Percent","-9999"
"Colchester School District","901115910","2015-2016","High Needs","Total Cohort Count","Number","63"
"Colchester School District","901115910","2015-2016","Non-High Needs","Total Cohort Count","Number","151"
"Colchester School District","901115910","2015-2016","High Needs","Four Year Graduation Count","Number","54"
"Colchester School District","901115910","2015-2016","Non-High Needs","Four Year Graduation Count","Number","148"
"Colchester School District","901115910","2015-2016","High Needs","Four Year Graduation Rate","Percent","85.7"
"Colchester School District","901115910","2015-2016","Non-High Needs","Four Year Graduation Rate","Percent","98.0"
"Colchester School District","901115910","2015-2016","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Colchester School District","901115910","2015-2016","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Colchester School District","901115910","2015-2016","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Colchester School District","901115910","2015-2016","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Colchester School District","901115910","2015-2016","High Needs","Other Count","Number","-9999"
"Colchester School District","901115910","2015-2016","Non-High Needs","Other Count","Number","-9999"
"Colchester School District","901115910","2015-2016","High Needs","Other Rate","Percent","-9999"
"Colchester School District","901115910","2015-2016","Non-High Needs","Other Rate","Percent","-9999"
"Colebrook School District","","2010-2011","High Needs","Total Cohort Count","Number","-6666"
"Colebrook School District","","2010-2011","Non-High Needs","Total Cohort Count","Number","-6666"
"Colebrook School District","","2010-2011","High Needs","Four Year Graduation Count","Number","-6666"
"Colebrook School District","","2010-2011","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Colebrook School District","","2010-2011","High Needs","Four Year Graduation Rate","Percent","-6666"
"Colebrook School District","","2010-2011","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Colebrook School District","","2010-2011","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Colebrook School District","","2010-2011","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Colebrook School District","","2010-2011","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Colebrook School District","","2010-2011","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Colebrook School District","","2010-2011","High Needs","Other Count","Number","-6666"
"Colebrook School District","","2010-2011","Non-High Needs","Other Count","Number","-6666"
"Colebrook School District","","2010-2011","High Needs","Other Rate","Percent","-6666"
"Colebrook School District","","2010-2011","Non-High Needs","Other Rate","Percent","-6666"
"Colebrook School District","","2011-2012","High Needs","Total Cohort Count","Number","-6666"
"Colebrook School District","","2011-2012","Non-High Needs","Total Cohort Count","Number","-6666"
"Colebrook School District","","2011-2012","High Needs","Four Year Graduation Count","Number","-6666"
"Colebrook School District","","2011-2012","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Colebrook School District","","2011-2012","High Needs","Four Year Graduation Rate","Percent","-6666"
"Colebrook School District","","2011-2012","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Colebrook School District","","2011-2012","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Colebrook School District","","2011-2012","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Colebrook School District","","2011-2012","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Colebrook School District","","2011-2012","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Colebrook School District","","2011-2012","High Needs","Other Count","Number","-6666"
"Colebrook School District","","2011-2012","Non-High Needs","Other Count","Number","-6666"
"Colebrook School District","","2011-2012","High Needs","Other Rate","Percent","-6666"
"Colebrook School District","","2011-2012","Non-High Needs","Other Rate","Percent","-6666"
"Colebrook School District","","2012-2013","High Needs","Total Cohort Count","Number","-6666"
"Colebrook School District","","2012-2013","Non-High Needs","Total Cohort Count","Number","-6666"
"Colebrook School District","","2012-2013","High Needs","Four Year Graduation Count","Number","-6666"
"Colebrook School District","","2012-2013","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Colebrook School District","","2012-2013","High Needs","Four Year Graduation Rate","Percent","-6666"
"Colebrook School District","","2012-2013","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Colebrook School District","","2012-2013","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Colebrook School District","","2012-2013","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Colebrook School District","","2012-2013","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Colebrook School District","","2012-2013","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Colebrook School District","","2012-2013","High Needs","Other Count","Number","-6666"
"Colebrook School District","","2012-2013","Non-High Needs","Other Count","Number","-6666"
"Colebrook School District","","2012-2013","High Needs","Other Rate","Percent","-6666"
"Colebrook School District","","2012-2013","Non-High Needs","Other Rate","Percent","-6666"
"Colebrook School District","","2013-2014","High Needs","Total Cohort Count","Number","-6666"
"Colebrook School District","","2013-2014","Non-High Needs","Total Cohort Count","Number","-6666"
"Colebrook School District","","2013-2014","High Needs","Four Year Graduation Count","Number","-6666"
"Colebrook School District","","2013-2014","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Colebrook School District","","2013-2014","High Needs","Four Year Graduation Rate","Percent","-6666"
"Colebrook School District","","2013-2014","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Colebrook School District","","2013-2014","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Colebrook School District","","2013-2014","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Colebrook School District","","2013-2014","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Colebrook School District","","2013-2014","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Colebrook School District","","2013-2014","High Needs","Other Count","Number","-6666"
"Colebrook School District","","2013-2014","Non-High Needs","Other Count","Number","-6666"
"Colebrook School District","","2013-2014","High Needs","Other Rate","Percent","-6666"
"Colebrook School District","","2013-2014","Non-High Needs","Other Rate","Percent","-6666"
"Colebrook School District","","2014-2015","High Needs","Total Cohort Count","Number","-6666"
"Colebrook School District","","2014-2015","Non-High Needs","Total Cohort Count","Number","-6666"
"Colebrook School District","","2014-2015","High Needs","Four Year Graduation Count","Number","-6666"
"Colebrook School District","","2014-2015","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Colebrook School District","","2014-2015","High Needs","Four Year Graduation Rate","Percent","-6666"
"Colebrook School District","","2014-2015","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Colebrook School District","","2014-2015","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Colebrook School District","","2014-2015","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Colebrook School District","","2014-2015","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Colebrook School District","","2014-2015","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Colebrook School District","","2014-2015","High Needs","Other Count","Number","-6666"
"Colebrook School District","","2014-2015","Non-High Needs","Other Count","Number","-6666"
"Colebrook School District","","2014-2015","High Needs","Other Rate","Percent","-6666"
"Colebrook School District","","2014-2015","Non-High Needs","Other Rate","Percent","-6666"
"Colebrook School District","","2015-2016","High Needs","Total Cohort Count","Number","-6666"
"Colebrook School District","","2015-2016","Non-High Needs","Total Cohort Count","Number","-6666"
"Colebrook School District","","2015-2016","High Needs","Four Year Graduation Count","Number","-6666"
"Colebrook School District","","2015-2016","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Colebrook School District","","2015-2016","High Needs","Four Year Graduation Rate","Percent","-6666"
"Colebrook School District","","2015-2016","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Colebrook School District","","2015-2016","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Colebrook School District","","2015-2016","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Colebrook School District","","2015-2016","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Colebrook School District","","2015-2016","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Colebrook School District","","2015-2016","High Needs","Other Count","Number","-6666"
"Colebrook School District","","2015-2016","Non-High Needs","Other Count","Number","-6666"
"Colebrook School District","","2015-2016","High Needs","Other Rate","Percent","-6666"
"Colebrook School District","","2015-2016","Non-High Needs","Other Rate","Percent","-6666"
"Columbia School District","","2010-2011","High Needs","Total Cohort Count","Number","-6666"
"Columbia School District","","2010-2011","Non-High Needs","Total Cohort Count","Number","-6666"
"Columbia School District","","2010-2011","High Needs","Four Year Graduation Count","Number","-6666"
"Columbia School District","","2010-2011","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Columbia School District","","2010-2011","High Needs","Four Year Graduation Rate","Percent","-6666"
"Columbia School District","","2010-2011","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Columbia School District","","2010-2011","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Columbia School District","","2010-2011","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Columbia School District","","2010-2011","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Columbia School District","","2010-2011","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Columbia School District","","2010-2011","High Needs","Other Count","Number","-6666"
"Columbia School District","","2010-2011","Non-High Needs","Other Count","Number","-6666"
"Columbia School District","","2010-2011","High Needs","Other Rate","Percent","-6666"
"Columbia School District","","2010-2011","Non-High Needs","Other Rate","Percent","-6666"
"Columbia School District","","2011-2012","High Needs","Total Cohort Count","Number","-6666"
"Columbia School District","","2011-2012","Non-High Needs","Total Cohort Count","Number","-6666"
